Item Name,UNIQID2,UNIQID3,sku,SKU Code,Category,Colour,Brand,Size,Category,Tally Code,Link
2,2DBG,236,2DBG36,test_code_1,Kurta Only,DBG,,36,Kurta Only,tally_1,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBG,238,2DBG38,test_code_2,Kurta Only,DBG,,38,Kurta Only,tally_2,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBG,240,2DBG40,test_code_3,Kurta Only,DBG,,40,Kurta Only,tally_3,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBG,242,2DBG42,test_code_4,Kurta Only,DBG,,42,Kurta Only,tally_4,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBG,244,2DBG44,test_code_5,Kurta Only,DBG,,44,Kurta Only,tally_5,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBU,236,2DBU36,test_code_6,Kurta Only,DBU,,36,Kurta Only,tally_6,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBU,238,2DBU38,test_code_7,Kurta Only,DBU,,38,Kurta Only,tally_7,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBU,240,2DBU40,test_code_8,Kurta Only,DBU,,40,Kurta Only,tally_8,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBU,242,2DBU42,test_code_9,Kurta Only,DBU,,42,Kurta Only,tally_9,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2DBU,244,2DBU44,test_code_10,Kurta Only,DBU,,44,Kurta Only,tally_10,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2FZ,236,2FZ36,test_code_11,Kurta Only,FZ,,36,Kurta Only,tally_11,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2FZ,238,2FZ38,test_code_12,Kurta Only,FZ,,38,Kurta Only,tally_12,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2FZ,240,2FZ40,test_code_13,Kurta Only,FZ,,40,Kurta Only,tally_13,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2FZ,242,2FZ42,test_code_14,Kurta Only,FZ,,42,Kurta Only,tally_14,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2FZ,244,2FZ44,test_code_15,Kurta Only,FZ,,44,Kurta Only,tally_15,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2MN,236,2MN36,test_code_16,Kurta Only,MN,,36,Kurta Only,tally_16,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2MN,238,2MN38,test_code_17,Kurta Only,MN,,38,Kurta Only,tally_17,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2MN,240,2MN40,test_code_18,Kurta Only,MN,,40,Kurta Only,tally_18,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2MN,242,2MN42,test_code_19,Kurta Only,MN,,42,Kurta Only,tally_19,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
2,2MN,244,2MN44,test_code_20,Kurta Only,MN,,44,Kurta Only,tally_20,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/9/13/5cb4381e-68f4-4187-a299-9f1fed2643df1568378730983-1.jpg"
